                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 3.2898,                 2.7184,                 2.7779,                0.03175,                0.21453,                 0.0141,                0.00366,                 3.4413,                 7.8693,                 2.8561,              0.0013664,              0.0013664,              0.0013664
                     34,                 3.1811,                  2.554,                 2.6017,                0.04732,                0.18108,                0.01834,                0.00459,                 3.4178,                 4.9506,                 2.7793,              0.0013466,              0.0013466,              0.0013466
                     35,                 3.2238,                 2.4644,                 2.5695,                0.09095,                0.15917,                0.03806,                0.00869,                   3.37,                  2.976,                 2.6462,              0.0013268,              0.0013268,              0.0013268
                     36,                 3.2909,                 2.5335,                 2.6573,                0.10782,                0.14994,                0.04716,                0.01109,                 3.2837,                  2.818,                 2.5881,               0.001307,               0.001307,               0.001307
                     37,                 3.1149,                 2.6989,                 2.6956,                0.12145,                0.17532,                 0.0524,                0.01248,                  3.222,                 2.7516,                 2.5523,              0.0012872,              0.0012872,              0.0012872
                     38,                 3.2054,                 2.4348,                 2.5073,                0.13311,                0.16948,                0.05851,                0.01427,                 3.1702,                 2.6249,                 2.4925,              0.0012674,              0.0012674,              0.0012674
                     39,                 3.1313,                 2.5188,                 2.5884,                0.13036,                0.19723,                0.06521,                0.01707,                 3.1043,                 2.4398,                 2.4297,              0.0012476,              0.0012476,              0.0012476
                     40,                 3.1823,                 2.5375,                 2.5683,                0.13072,                0.20185,                0.07828,                0.02224,                 3.0764,                 2.3455,                 2.3863,              0.0012278,              0.0012278,              0.0012278
                     41,                 3.2617,                 2.4896,                 2.5913,                 0.1056,                0.23645,                0.07749,                0.02265,                 3.1093,                 2.4318,                 2.3988,               0.001208,               0.001208,               0.001208
                     42,                 3.3544,                 2.4262,                 2.5559,                0.08973,                0.25721,                0.07341,                0.02095,                 3.1221,                 2.8262,                 2.4246,              0.0011882,              0.0011882,              0.0011882
                     43,                 3.2542,                 2.4468,                 2.5466,                0.08262,                 0.2203,                0.06699,                0.01815,                 3.2054,                 2.9495,                 2.4475,              0.0011684,              0.0011684,              0.0011684
                     44,                 3.2079,                  2.559,                 2.6316,                0.13262,                  0.203,                0.08451,                0.02288,                 3.1239,                 2.3789,                 2.3779,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.9709,                 2.4842,                 2.5369,                0.18295,                 0.2309,                0.09968,                0.02609,                 3.0319,                 2.2578,                 2.3201,              0.0011288,              0.0011288,              0.0011288
                     46,                 3.1126,                 2.4192,                 2.4821,                0.16313,                0.24337,                0.08371,                 0.0215,                 3.0198,                 2.4183,                 2.3227,               0.001109,               0.001109,               0.001109
                     47,                  3.138,                 2.4002,                 2.5001,                0.12078,                0.20185,                0.06022,                0.01606,                 3.0329,                 2.8799,                 2.3327,              0.0010892,              0.0010892,              0.0010892
                     48,                 3.0364,                 2.2839,                 2.4491,                0.12093,                0.20992,                0.06381,                0.01643,                 3.0328,                 2.7837,                 2.3282,              0.0010694,              0.0010694,              0.0010694
