                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 3.2983,                 2.6877,                 2.7331,                0.02892,                 0.0669,                0.00976,                0.00244,                 3.5775,                 3.0358,                   2.66,              0.0018416,              0.0018416,              0.0018416
                     34,                 3.1766,                 2.5488,                 2.5749,                0.02481,                0.07382,                0.00777,                0.00195,                 3.7043,                 3.0678,                 2.7361,              0.0018367,              0.0018367,              0.0018367
                     35,                 3.2194,                 2.4883,                 2.5436,                0.18635,                0.05998,                0.03749,                0.00814,                 3.7966,                 3.2339,                  2.791,              0.0018317,              0.0018317,              0.0018317
                     36,                 3.3179,                  2.531,                 2.6183,                0.22347,                0.05767,                0.03837,                0.00883,                 3.6123,                 3.7206,                 2.6676,              0.0018267,              0.0018267,              0.0018267
                     37,                 3.1165,                 2.6559,                 2.6291,                0.12835,                0.06459,                 0.0255,                0.00643,                 3.4994,                 4.1176,                 2.6122,              0.0018218,              0.0018218,              0.0018218
                     38,                 3.2147,                 2.4578,                 2.5047,                0.11792,                0.07151,                0.02431,                0.00648,                 3.5218,                 4.0212,                 2.6441,              0.0018168,              0.0018168,              0.0018168
                     39,                 3.1414,                 2.4717,                  2.551,                0.17784,                0.07958,                 0.0449,                0.01271,                 3.4081,                 3.1134,                 2.5821,              0.0018119,              0.0018119,              0.0018119
                     40,                  3.174,                 2.5133,                 2.5421,                0.07691,                 0.1511,                0.04906,                0.01356,                 3.3438,                 3.1255,                 2.5282,              0.0018069,              0.0018069,              0.0018069
                     41,                 3.2542,                  2.443,                 2.5563,                0.07129,                0.17878,                0.05089,                0.01369,                 3.3591,                 3.3437,                 2.5287,               0.001802,               0.001802,               0.001802
                     42,                 3.2979,                 2.3653,                 2.4636,                0.05889,                0.20415,                0.04808,                0.01268,                 3.2568,                 3.9779,                 2.4623,              0.0017971,              0.0017971,              0.0017971
                     43,                 3.1746,                 2.3762,                 2.4482,                0.23308,                0.06574,                0.04859,                0.01277,                 3.3417,                 3.3995,                 2.5249,              0.0017921,              0.0017921,              0.0017921
                     44,                 3.1892,                 2.4417,                 2.5551,                0.18344,                0.08074,                0.05213,                0.01358,                 3.3902,                 2.7735,                 2.5619,              0.0017872,              0.0017872,              0.0017872
                     45,                 3.0386,                  2.449,                 2.5008,                0.15436,                0.08304,                0.05429,                0.01424,                 3.3031,                 2.9377,                 2.5017,              0.0017822,              0.0017822,              0.0017822
                     46,                 3.0613,                 2.3797,                 2.4249,                0.13375,                0.11303,                0.07243,                0.02031,                 3.2143,                 2.5189,                  2.447,              0.0017772,              0.0017772,              0.0017772
                     47,                 3.1331,                 2.3581,                 2.4598,                0.16142,                0.17762,                0.09163,                0.02545,                  3.066,                 2.2797,                 2.3366,              0.0017723,              0.0017723,              0.0017723
                     48,                 3.0381,                 2.2991,                 2.4083,                0.15131,                0.18108,                0.09694,                0.02792,                 3.0202,                 2.1942,                 2.2924,              0.0017674,              0.0017674,              0.0017674
                     49,                 3.1834,                 2.2981,                 2.4174,                0.15688,                0.22722,                0.08271,                0.02054,                 3.0488,                 2.4353,                 2.2904,              0.0017624,              0.0017624,              0.0017624
                     50,                 3.0513,                 2.4004,                 2.5053,                0.15541,                0.19525,                0.07885,                0.01808,                 3.2845,                 2.8104,                 2.4165,              0.0017575,              0.0017575,              0.0017575
