                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 3.3019,                 2.7104,                 2.8057,                0.06795,                0.14994,                0.02614,                0.00549,                 3.2726,                 3.8896,                 2.4502,              0.0019366,              0.0019366,              0.0019366
                     34,                 3.1777,                  2.579,                  2.597,                0.06125,                0.16378,                0.02485,                0.00529,                 3.2554,                 5.1304,                 2.4456,              0.0019347,              0.0019347,              0.0019347
                     35,                 3.2648,                 2.4879,                 2.5571,                0.06048,                0.14418,                0.02552,                0.00473,                  3.338,                 6.9424,                 2.5371,              0.0019327,              0.0019327,              0.0019327
                     36,                 3.3444,                 2.5302,                 2.6246,                0.13094,                0.11765,                0.04766,                0.01031,                 3.3287,                 4.9628,                 2.5515,              0.0019307,              0.0019307,              0.0019307
                     37,                 3.1943,                  2.597,                  2.691,                0.08988,                 0.1511,                0.05598,                0.01299,                 3.2669,                 5.1634,                 2.5072,              0.0019287,              0.0019287,              0.0019287
                     38,                 3.2723,                 2.4644,                 2.4899,                0.08258,                0.24337,                0.06068,                0.01379,                 3.1942,                 5.6918,                 2.4731,              0.0019267,              0.0019267,              0.0019267
                     39,                 3.2294,                 2.5266,                 2.5687,                0.07304,                0.19723,                0.04961,                0.01266,                 3.1444,                 6.1648,                  2.434,              0.0019248,              0.0019248,              0.0019248
                     40,                 3.2491,                 2.5311,                  2.529,                0.08431,                0.21453,                0.05249,                0.01403,                 3.1284,                 4.3123,                 2.4013,              0.0019228,              0.0019228,              0.0019228
                     41,                 3.2477,                 2.5033,                  2.569,                0.09382,                0.22145,                0.05867,                0.01514,                 3.1154,                  3.738,                 2.3788,              0.0019208,              0.0019208,              0.0019208
                     42,                 3.3591,                 2.4355,                 2.5349,                0.08077,                 0.2526,                0.05249,                 0.0143,                 3.0906,                 2.9703,                 2.3471,              0.0019188,              0.0019188,              0.0019188
                     43,                  3.238,                 2.4047,                 2.4946,                0.15625,                0.23644,                0.09174,                0.02453,                 3.0068,                 2.2047,                 2.2844,              0.0019168,              0.0019168,              0.0019168
                     44,                 3.1606,                 2.4941,                 2.5875,                0.16162,                0.24683,                0.09869,                0.02695,                 3.0091,                 2.1518,                  2.254,              0.0019149,              0.0019149,              0.0019149
                     45,                 3.0231,                 2.4229,                 2.4989,                0.16092,                0.26067,                0.08256,                0.02235,                 3.0438,                 2.2384,                 2.2386,              0.0019129,              0.0019129,              0.0019129
                     46,                 3.2018,                 2.4687,                 2.4817,                0.17706,                0.27336,                0.09917,                0.02511,                 2.9732,                 2.3056,                 2.2448,              0.0019109,              0.0019109,              0.0019109
                     47,                 3.2067,                 2.4004,                 2.4631,                0.15937,                0.23991,                0.08435,                0.01926,                 3.1109,                 2.2471,                 2.3154,              0.0019089,              0.0019089,              0.0019089
